src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.64.1,192.168.64.255,57621,57621,17,2026-02-06 14:55:24,90.02795100212097,4.7762944198282336,0.055538307207305036,0.055538307207305036,0.0,5,0,430,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,100,0,20,5,22.506987750530243,30.014415979385376,0.0,12.994415898644737,90.02795100212097,30.014415979385376,0.0,22.506987750530243,12.994415898644737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,5,0,430,0
192.168.64.1,224.0.0.251,5353,5353,17,2026-02-06 14:56:49,119.9957549571991,4.225149466169367,0.05000176883040672,0.05000176883040672,0.0,6,0,507,0,87,82,84.5,2.5,0,0,0,0.0,87,82,84.5,2.5,6.25,120,0,20,6,23.99915099143982,93.61764192581177,0.0,35.87517486387971,119.9957549571991,93.61764192581177,0.0,23.99915099143982,35.87517486387971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.5,0,0,6,0,507,0
192.168.64.1,239.255.255.250,53243,1900,17,2026-02-06 14:56:50,120.00167489051819,4.1749417285807064,0.024999651069345548,0.024999651069345548,0.0,3,0,501,0,167,167,167.0,0.0,0,0,0,0.0,167,167,167.0,0.0,0.0,60,0,20,3,60.000837445259094,120.00167489051819,0.0,60.000837445259094,120.00167489051819,120.00167489051819,0.0,60.000837445259094,60.000837445259094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.0,0,0,3,0,501,0
192.168.64.1,192.168.64.255,57621,57621,17,2026-02-06 14:57:24,90.03595495223999,4.775869820318956,0.05553337000370879,0.05553337000370879,0.0,5,0,430,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,100,0,20,5,22.508988738059998,30.013591051101685,0.0,12.995570847072502,90.03595495223999,30.013591051101685,0.0,22.508988738059998,12.995570847072502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,5,0,430,0
192.168.64.137,160.25.232.6,55815,123,17,2026-02-06 14:55:21,0.023357868194580078,11559.274063488823,128.43637848320915,85.62425232213943,42.81212616106971,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.011678934097290039,0.023357868194580078,0.0,0.011678934097290039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.1,239.255.255.250,59420,1900,17,2026-02-06 14:55:50,3.037917137145996,348.9232760956174,1.6458645098849878,1.6458645098849878,0.0,5,0,1060,0,212,212,212.0,0.0,0,0,0,0.0,212,212,212.0,0.0,0.0,100,0,20,5,0.759479284286499,1.0149281024932861,0.0,0.4384888328583454,3.037917137145996,1.0149281024932861,0.0,0.759479284286499,0.4384888328583454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,212.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.0,0,0,5,0,1060,0
192.168.64.137,160.25.232.6,58222,123,17,2026-02-06 14:55:54,0.02654099464416504,10172.942032500607,113.03268925000674,75.35512616667116,37.67756308333558,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.01327049732208252,0.02654099464416504,0.0,0.01327049732208252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.1,192.168.64.254,68,67,17,2026-02-06 14:56:07,8.702278137207031e-05,11790016.175342467,34473.73150684931,22982.487671232877,11491.243835616438,2,1,684,342,342,342,342.0,0.0,342,342,342.0,0.0,342,342,342.0,0.0,0.0,40,20,20,2,4.3511390686035156e-05,8.702278137207031e-05,0.0,4.3511390686035156e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.0,342.0,0,2,1,684,342
192.168.64.1,224.0.0.252,62250,5355,17,2026-02-06 14:56:07,0.41173601150512695,488.1768764049368,7.286222035894579,7.286222035894579,0.0,3,0,201,0,67,67,67.0,0.0,0,0,0,0.0,67,67,67.0,0.0,0.0,60,0,20,3,0.20586800575256348,0.41173601150512695,0.0,0.20586800575256348,0.41173601150512695,0.41173601150512695,0.0,0.20586800575256348,0.20586800575256348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,0,0,3,0,201,0
34.107.243.93,192.168.64.137,443,60024,6,2026-02-06 14:56:23,0.0009419918060302734,309981.4649455834,4246.321437610732,3184.7410782080487,1061.580359402683,3,1,210,82,78,54,70.0,11.313708498984761,82,82,82.0,0.0,82,54,73.0,11.090536506409418,123.0,60,20,20,2,0.0003139972686767578,0.0008158683776855469,0.0,0.00035859237520955063,0.0009419918060302734,0.0009419918060302734,0.0,0.0004709959030151367,0.0004709959030151367,0,0,0,0,0,2,1,0,0,0,0,0,3,4,0,0,0.3333333333333333,73.0,64240,62950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,82.0,0,3,1,210,82
192.168.64.1,192.168.64.2,137,137,17,2026-02-06 14:57:06,198.3387188911438,4.436854311250135,0.04033503919318305,0.04033503919318305,0.0,8,0,880,0,110,110,110.0,0.0,0,0,0,0.0,110,110,110.0,0.0,0.0,160,0,20,8,28.334102698734828,129.87427306175232,0.0,46.8465249454724,198.3387188911438,129.87427306175232,0.0,28.334102698734828,46.8465249454724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,0,0,8,0,880,0
